old_url,bo_table,wr_id,제목,분류(법률정보/성공사례/기타),월간유입(있으면),이관대상여부,new_url
/bbs/board.php?bo_table=notice2&wr_id=34,notice2,34,민사 [손해배상 사건]에 관한 성공사례,성공사례,,미정,/cases
/bbs/board.php?bo_table=notice2&wr_id=35,notice2,35,민사 [배당이의 사건]에 관한 성공사례,성공사례,,미정,/cases
/bbs/board.php?bo_table=notice2&wr_id=36,notice2,36,민사 [매매대금반환 등]사건 성공사례,성공사례,,미정,/cases
/bbs/board.php?bo_table=notice2&wr_id=37,notice2,37,가사 [사실혼관계의 파탄 및 종료로 인한 위자료]사건 성공사례,성공사례,,미정,/cases
/bbs/board.php?bo_table=notice2&wr_id=38,notice2,38,민사 [조선땅찾기소송]사건 성공사례,성공사례,,미정,/cases
/bbs/board.php?bo_table=notice2&wr_id=39,notice2,39,민사 [부당이득반환]사건 성공사례,성공사례,,미정,/cases
/bbs/board.php?bo_table=notice2&wr_id=40,notice2,40,민사 [건물하자 손해배상]사건 성공사례,성공사례,,미정,/cases
/bbs/board.php?bo_table=notice2&wr_id=41,notice2,41,민사 [대여금]사건 성공사례,성공사례,,미정,/cases
/bbs/board.php?bo_table=notice2&wr_id=42,notice2,42,민사 [영업금지가처분]사건 성공사례,성공사례,,미정,/cases
/bbs/board.php?bo_table=notice2&wr_id=43,notice2,43,민사 [매매대금반환]사건 성공사례,성공사례,,미정,/cases
/bbs/board.php?bo_table=notice2&wr_id=44,notice2,44,민사 [건물명도]사건 성공사례,성공사례,,미정,/cases
/bbs/board.php?bo_table=notice2&wr_id=45,notice2,45,가사 [성년후견 개시]사건 성공사례,성공사례,,미정,/cases
/bbs/board.php?bo_table=notice2&wr_id=46,notice2,46,형사 성범죄 [무혐의] 강제추행 사건에 관한 성공사례,성공사례,,미정,/cases
/bbs/board.php?bo_table=notice2&wr_id=47,notice2,47,형사 교특법위반 [집행유예] 치사 사건에 관한 성공사례,성공사례,,미정,/cases
/bbs/board.php?bo_table=notice2&wr_id=48,notice2,48,형사 경제범죄 [고소대리사건-실형]사기 사건에 관한 성공사례,성공사례,,미정,/cases
/bbs/board.php?bo_table=notice2&wr_id=49,notice2,49,형사 경제범죄 [무혐의]명예훼손 사건에 관한 성공사례,성공사례,,미정,/cases
/bbs/board.php?bo_table=notice2&wr_id=50,notice2,50,민사 [부당이득금]사건 성공사례,성공사례,,미정,/cases
/bbs/board.php?bo_table=notice2&wr_id=51,notice2,51,민사 [공사대금청구]사건 성공사례,성공사례,,미정,/cases
/bbs/board.php?bo_table=notice2&wr_id=52,notice2,52,민사 [소유권이전등기청구]사건 성공사례,성공사례,,미정,/cases
/bbs/board.php?bo_table=notice2&wr_id=53,notice2,53,형사 경제범죄 [무죄] 범죄단체가입방조 등 사건에 관한 성공사례,성공사례,,미정,/cases
/bbs/board.php?bo_table=notice2&wr_id=54,notice2,54,형사 음주운전 [벌금형]특정범죄가중처벌등에관한법률위반(위험운전치상) 사건에 관한 성공사례,성공사례,,미정,/cases
/bbs/board.php?bo_table=notice2&wr_id=55,notice2,55,형사 공무집행방해죄[벌금형] 공무집행방해 사건에 관한 성공사례,성공사례,,미정,/cases
/bbs/board.php?bo_table=notice2&wr_id=56,notice2,56,형사 음주운전 [벌금형]도로교통법위반(음주운전) 사건에 관한 성공사례,성공사례,,미정,/cases
/bbs/board.php?bo_table=notice2&wr_id=57,notice2,57,형사 특정범죄가중처벌등에관한법률위반(위험운전치상) 등 사건에 관한 항소심 성공사례,성공사례,,미정,/cases
/bbs/board.php?bo_table=notice2&wr_id=59,notice2,59,형사 음주운전 [벌금형]도로교통법위반(음주운전) 사건에 관한 성공사례,성공사례,,미정,/cases
/bbs/board.php?bo_table=notice2&wr_id=60,notice2,60,형사 음주운전 [벌금형]도로교통법위반(음주운전) 사건에 관한 성공사례,성공사례,,미정,/cases
/bbs/board.php?bo_table=notice2&wr_id=61,notice2,61,형사 특정범죄가중처벌등에관한법률위반(위험운전치사)등 사건에 관한 성공사례,성공사례,,미정,/cases
/bbs/board.php?bo_table=notice2&wr_id=62,notice2,62,형사 음주운전[무죄] 도로교통법위반(음주운전) 사건에 관한 성공사례,성공사례,,미정,/cases
/bbs/board.php?bo_table=notice2&wr_id=63,notice2,63,형사 경제범죄 [혐의없음] 사기 사건에 관한 성공사례,성공사례,,미정,/cases
